|           energy|                      jnu|
|           double|                   double|
|         Rydbergs|log10(erg/s/cm^2/Hz/ster)|
     167666.631257            -28.7222314845 
     175886.535588             -28.749633469 
     184541.948335            -28.7772425622 
     193598.500293            -28.8045086732 
     203090.737883            -28.8317434028 
      213112.28739             -28.858899706 
     223569.220039            -28.8859558477 
     234560.654023            -28.9127759431 
      246022.71622            -28.9392461998 
      258149.61498            -28.9662364106 
     270807.768464            -28.9937014411 
      284149.71652            -29.0209236844 
     298092.293386            -29.0480335172 
     312720.707234            -29.0754070306 
     328030.288294            -29.1027963901 
      344134.49429            -29.1304242059 
     361041.260254            -29.1589957639 
     378748.188229            -29.1875247558 
     397413.057514            -29.2158402052 
     416865.572223            -29.2439504979 
     437478.704215             -29.271781738 
     458845.992387             -29.300225991 
     481388.347005            -29.3287269186 
     505137.550377            -29.3574344542 
     529807.058651            -29.3862315918 
     555990.323905            -29.4149523857 
     583398.297619            -29.4436907661 
     612000.094614            -29.4724177953 
     3672987.26675                     -30.0 
