#Incident Continuum, Enr	nFn 
3.36195e-04	1.047e-03
3.37880e-04	1.004e-03
3.39574e-04	9.615e-04
3.41275e-04	9.208e-04
3.42986e-04	8.816e-04
3.44705e-04	8.438e-04
3.46432e-04	8.073e-04
3.48168e-04	7.722e-04
3.49913e-04	7.384e-04
3.51667e-04	7.058e-04
3.53429e-04	6.744e-04
3.55200e-04	6.443e-04
3.56981e-04	6.152e-04
3.58770e-04	5.873e-04
3.60568e-04	5.605e-04
3.62375e-04	5.347e-04
3.64191e-04	5.099e-04
3.66016e-04	4.861e-04
3.67850e-04	4.633e-04
3.69694e-04	4.413e-04
3.71546e-04	4.203e-04
3.73408e-04	4.002e-04
3.75280e-04	3.808e-04
3.77160e-04	3.623e-04
3.79051e-04	3.446e-04
3.80950e-04	3.276e-04
3.82859e-04	3.113e-04
3.84778e-04	2.958e-04
3.86706e-04	2.809e-04
3.88644e-04	2.667e-04
3.90592e-04	2.531e-04
3.92550e-04	2.401e-04
3.94517e-04	2.277e-04
3.96494e-04	2.159e-04
3.98481e-04	2.046e-04
4.00478e-04	1.938e-04
4.02485e-04	1.835e-04
4.04502e-04	1.737e-04
4.06529e-04	1.644e-04
4.08567e-04	1.555e-04
4.10614e-04	1.470e-04
4.12672e-04	1.389e-04
4.14740e-04	1.313e-04
4.16819e-04	1.240e-04
4.18908e-04	1.171e-04
4.21007e-04	1.105e-04
4.23117e-04	1.042e-04
4.25237e-04	9.827e-05
4.27369e-04	9.263e-05
4.29510e-04	8.729e-05
4.31663e-04	8.221e-05
4.33826e-04	7.741e-05
4.36000e-04	7.285e-05
4.38185e-04	6.854e-05
4.40381e-04	6.446e-05
4.42588e-04	6.059e-05
4.44806e-04	5.694e-05
4.47036e-04	5.348e-05
4.49276e-04	5.021e-05
4.51528e-04	4.713e-05
4.53790e-04	4.421e-05
4.56065e-04	4.146e-05
4.58350e-04	3.887e-05
4.60647e-04	3.642e-05
4.62956e-04	3.411e-05
4.65276e-04	3.194e-05
4.67608e-04	2.989e-05
4.69951e-04	2.797e-05
4.72306e-04	2.615e-05
4.74673e-04	2.445e-05
4.77052e-04	2.284e-05
4.79443e-04	2.134e-05
4.81846e-04	1.992e-05
4.84260e-04	1.859e-05
4.86687e-04	1.735e-05
4.89126e-04	1.618e-05
4.91578e-04	1.508e-05
4.94041e-04	1.406e-05
4.96517e-04	1.309e-05
4.99006e-04	1.219e-05
5.01506e-04	1.135e-05
5.04020e-04	1.056e-05
5.06546e-04	9.828e-06
5.09084e-04	9.140e-06
5.11635e-04	8.498e-06
5.14200e-04	7.898e-06
5.16777e-04	7.339e-06
5.19366e-04	6.818e-06
5.21969e-04	6.332e-06
5.24585e-04	5.879e-06
5.27214e-04	5.458e-06
5.29856e-04	5.067e-06
5.32512e-04	4.702e-06
5.35180e-04	4.364e-06
5.37862e-04	4.050e-06
5.40558e-04	3.758e-06
5.43267e-04	3.488e-06
5.45990e-04	3.237e-06
5.48726e-04	3.004e-06
5.51476e-04	2.789e-06
5.54240e-04	2.590e-06
5.57017e-04	2.406e-06
5.59809e-04	2.236e-06
5.62614e-04	2.080e-06
5.65434e-04	1.935e-06
5.68268e-04	1.801e-06
5.71115e-04	1.679e-06
5.73978e-04	1.566e-06
5.76854e-04	1.462e-06
5.79745e-04	1.366e-06
5.82650e-04	1.279e-06
5.85571e-04	1.198e-06
5.88505e-04	1.125e-06
5.91454e-04	1.057e-06
5.94419e-04	9.961e-07
5.97398e-04	9.401e-07
6.00391e-04	8.891e-07
6.03400e-04	8.427e-07
6.06424e-04	8.007e-07
6.09463e-04	7.626e-07
6.12518e-04	7.281e-07
6.15587e-04	6.971e-07
6.18673e-04	6.692e-07
6.21773e-04	6.441e-07
6.24889e-04	6.218e-07
6.28021e-04	6.019e-07
6.31168e-04	5.843e-07
6.34331e-04	5.688e-07
6.37510e-04	5.552e-07
6.40705e-04	5.435e-07
6.43916e-04	5.333e-07
6.47143e-04	5.247e-07
6.50386e-04	5.175e-07
6.53646e-04	5.116e-07
6.56922e-04	5.069e-07
6.60214e-04	5.033e-07
6.63522e-04	5.007e-07
6.66848e-04	4.990e-07
6.70190e-04	4.982e-07
6.73548e-04	4.982e-07
6.76924e-04	4.990e-07
6.80316e-04	5.004e-07
6.83726e-04	5.025e-07
6.87152e-04	5.051e-07
6.90596e-04	5.083e-07
6.94057e-04	5.121e-07
6.97535e-04	5.163e-07
7.01031e-04	5.209e-07
7.04544e-04	5.260e-07
7.08075e-04	5.314e-07
7.11624e-04	5.372e-07
7.15190e-04	5.434e-07
7.18774e-04	5.499e-07
7.22376e-04	5.567e-07
7.25997e-04	5.638e-07
7.29635e-04	5.712e-07
7.33292e-04	5.788e-07
7.36967e-04	5.867e-07
7.40660e-04	5.949e-07
7.44372e-04	6.032e-07
7.48102e-04	6.119e-07
7.51851e-04	6.207e-07
7.55619e-04	6.298e-07
7.59406e-04	6.391e-07
7.63212e-04	6.485e-07
7.67037e-04	6.582e-07
7.70881e-04	6.681e-07
